,Day,Location,TotalConfirmed,Discharged,Deaths,Active
670,2020-04-08,Mizoram,1,0,0,1
671,2020-04-08,Odisha,42,2,1,39
672,2020-04-08,Puducherry,5,1,0,4
673,2020-04-08,Punjab,91,4,7,80
674,2020-04-08,Rajasthan,328,21,3,304
675,2020-04-08,Tamil Nadu,690,19,7,664
676,2020-04-08,Telangana,427,35,7,385
677,2020-04-08,Tripura,1,0,0,1
678,2020-04-08,Uttarakhand,31,5,0,26
679,2020-04-08,Uttar Pradesh,343,26,3,314
680,2020-04-08,West Bengal,99,13,5,81
681,2020-04-09,Andhra Pradesh,348,6,4,338
682,2020-04-09,Andaman and Nicobar Islands,11,0,0,11
683,2020-04-09,Arunachal Pradesh,1,0,0,1
684,2020-04-09,Assam,28,0,0,28
685,2020-04-09,Bihar,39,0,1,38
686,2020-04-09,Chandigarh,18,7,0,11
687,2020-04-09,Chhattisgarh,10,9,0,1
688,2020-04-09,Delhi,669,21,9,639
689,2020-04-09,Goa,7,0,0,7
690,2020-04-09,Gujarat,179,25,16,138
691,2020-04-09,Haryana,169,29,3,137
692,2020-04-09,Himachal Pradesh,18,2,1,15
693,2020-04-09,Jammu and Kashmir,158,4,4,150
694,2020-04-09,Jharkhand,13,0,0,13
695,2020-04-09,Karnataka,181,28,5,148
696,2020-04-09,Kerala,345,83,2,260
697,2020-04-09,Ladakh,14,10,0,4
698,2020-04-09,Madhya Pradesh,259,0,16,243
699,2020-04-09,Maharashtra,1135,117,72,946
700,2020-04-09,Manipur,2,1,0,1
701,2020-04-09,Mizoram,1,0,0,1
702,2020-04-09,Odisha,42,2,1,39
703,2020-04-09,Puducherry,5,1,0,4
704,2020-04-09,Punjab,101,4,8,89
705,2020-04-09,Rajasthan,383,21,3,359
706,2020-04-09,Tamil Nadu,738,21,8,709
707,2020-04-09,Telangana,442,35,7,400
708,2020-04-09,Tripura,1,0,0,1
709,2020-04-09,Uttarakhand,35,5,0,30
710,2020-04-09,Uttar Pradesh,410,31,4,375
711,2020-04-09,West Bengal,103,16,5,82
712,2020-04-10,Andhra Pradesh,363,7,6,350
713,2020-04-10,Andaman and Nicobar Islands,11,0,0,11
714,2020-04-10,Arunachal Pradesh,1,0,0,1
715,2020-04-10,Assam,29,0,0,29
716,2020-04-10,Bihar,60,0,1,59
717,2020-04-10,Chandigarh,18,7,0,11
718,2020-04-10,Chhattisgarh,10,9,0,1
719,2020-04-10,Delhi,898,25,13,860
720,2020-04-10,Goa,7,1,0,6
721,2020-04-10,Gujarat,241,26,17,198
722,2020-04-10,Haryana,169,29,3,137
723,2020-04-10,Himachal Pradesh,28,6,1,21
724,2020-04-10,Jammu and Kashmir,184,6,4,174
725,2020-04-10,Jharkhand,13,0,1,12
726,2020-04-10,Karnataka,197,30,6,161
727,2020-04-10,Kerala,357,96,2,259
728,2020-04-10,Ladakh,15,10,0,5
729,2020-04-10,Madhya Pradesh,259,0,16,243
730,2020-04-10,Maharashtra,1364,125,97,1142
731,2020-04-10,Manipur,2,1,0,1
732,2020-04-10,Mizoram,1,0,0,1
733,2020-04-10,Odisha,44,2,1,41
734,2020-04-10,Puducherry,5,1,0,4
735,2020-04-10,Punjab,132,5,11,116
736,2020-04-10,Rajasthan,463,21,3,439
737,2020-04-10,Tamil Nadu,834,21,8,805
738,2020-04-10,Telangana,473,35,7,431
739,2020-04-10,Tripura,1,0,0,1
740,2020-04-10,Uttarakhand,35,5,0,30
741,2020-04-10,Uttar Pradesh,431,32,4,395
742,2020-04-10,West Bengal,116,16,5,95
743,2020-04-11,Andhra Pradesh,381,11,6,364
744,2020-04-11,Andaman and Nicobar Islands,11,0,0,11
745,2020-04-11,Arunachal Pradesh,1,0,0,1
746,2020-04-11,Assam,29,0,1,28
747,2020-04-11,Bihar,60,0,1,59
748,2020-04-11,Chandigarh,18,7,0,11
749,2020-04-11,Chhattisgarh,18,9,0,9
750,2020-04-11,Delhi,903,25,14,864
751,2020-04-11,Goa,7,1,0,6
752,2020-04-11,Gujarat,308,31,19,258
753,2020-04-11,Haryana,177,29,3,145
754,2020-04-11,Himachal Pradesh,28,6,1,21
755,2020-04-11,Jammu and Kashmir,207,6,4,197
756,2020-04-11,Jharkhand,17,0,1,16
757,2020-04-11,Karnataka,214,37,6,171
758,2020-04-11,Kerala,364,123,2,239
759,2020-04-11,Ladakh,15,10,0,5
760,2020-04-11,Madhya Pradesh,443,0,33,410
761,2020-04-11,Maharashtra,1574,188,110,1276
762,2020-04-11,Manipur,2,1,0,1
763,2020-04-11,Mizoram,1,0,0,1
764,2020-04-11,Odisha,48,2,1,45
765,2020-04-11,Puducherry,7,1,0,6
766,2020-04-11,Punjab,132,5,11,116
767,2020-04-11,Rajasthan,553,21,3,529
768,2020-04-11,Tamil Nadu,911,44,8,859
769,2020-04-11,Telangana,504,43,9,452
770,2020-04-11,Tripura,2,0,0,2
771,2020-04-11,Uttarakhand,35,5,0,30
772,2020-04-11,Uttar Pradesh,433,32,4,397
773,2020-04-11,West Bengal,126,16,5,105
774,2020-04-12,Andhra Pradesh,381,11,6,364
775,2020-04-12,Andaman and Nicobar Islands,11,10,0,1
776,2020-04-12,Arunachal Pradesh,1,0,0,1
777,2020-04-12,Assam,29,0,1,28
778,2020-04-12,Bihar,64,19,1,44
779,2020-04-12,Chandigarh,19,7,0,12
780,2020-04-12,Chhattisgarh,25,10,0,15
781,2020-04-12,Delhi,1069,25,19,1025
782,2020-04-12,Goa,7,5,0,2
783,2020-04-12,Gujarat,432,44,22,366
784,2020-04-12,Haryana,185,29,3,153
785,2020-04-12,Himachal Pradesh,32,6,1,25
786,2020-04-12,Jammu and Kashmir,224,6,4,214
787,2020-04-12,Jharkhand,17,0,1,16
788,2020-04-12,Karnataka,226,37,6,183
789,2020-04-12,Kerala,374,142,2,230
790,2020-04-12,Ladakh,15,10,0,5
791,2020-04-12,Madhya Pradesh,564,0,36,528
792,2020-04-12,Maharashtra,1761,208,127,1426
793,2020-04-12,Manipur,2,1,0,1
794,2020-04-12,Mizoram,1,0,0,1
795,2020-04-12,Odisha,54,12,1,41
796,2020-04-12,Puducherry,7,1,0,6
797,2020-04-12,Punjab,151,5,11,135
798,2020-04-12,Rajasthan,700,21,3,676
799,2020-04-12,Tamil Nadu,969,44,10,915
800,2020-04-12,Telangana,504,43,9,452
801,2020-04-12,Tripura,2,0,0,2
802,2020-04-12,Uttarakhand,35,5,0,30
803,2020-04-12,Uttar Pradesh,452,45,5,402
804,2020-04-12,West Bengal,134,19,5,110
805,2020-04-13,Andhra Pradesh,432,11,7,414
806,2020-04-13,Andaman and Nicobar Islands,11,10,0,1
807,2020-04-13,Arunachal Pradesh,1,0,0,1
808,2020-04-13,Assam,31,0,1,30
809,2020-04-13,Bihar,64,26,1,37
810,2020-04-13,Chandigarh,21,7,0,14
811,2020-04-13,Chhattisgarh,31,10,0,21
812,2020-04-13,Delhi,1154,27,24,1103
813,2020-04-13,Goa,7,5,0,2
814,2020-04-13,Gujarat,539,47,26,466
815,2020-04-13,Haryana,185,29,3,153
816,2020-04-13,Himachal Pradesh,32,13,1,18
817,2020-04-13,Jammu and Kashmir,245,6,4,235
818,2020-04-13,Jharkhand,19,0,2,17
819,2020-04-13,Karnataka,247,59,6,182
820,2020-04-13,Kerala,376,179,3,194
821,2020-04-13,Ladakh,15,10,0,5
822,2020-04-13,Madhya Pradesh,604,44,43,517
823,2020-04-13,Maharashtra,1985,217,149,1619
824,2020-04-13,Manipur,2,1,0,1
825,2020-04-13,Mizoram,1,0,0,1
826,2020-04-13,Nagaland,1,0,0,1
827,2020-04-13,Odisha,54,12,1,41
828,2020-04-13,Puducherry,7,1,0,6
829,2020-04-13,Punjab,167,14,11,142
830,2020-04-13,Rajasthan,812,21,3,788
831,2020-04-13,Tamil Nadu,1075,50,11,1014
832,2020-04-13,Telangana,562,100,16,446
833,2020-04-13,Tripura,2,0,0,2
834,2020-04-13,Uttarakhand,35,5,0,30
835,2020-04-13,Uttar Pradesh,483,47,5,431
836,2020-04-13,West Bengal,152,29,7,116
837,2020-04-14,Andhra Pradesh,473,14,9,450
838,2020-04-14,Andaman and Nicobar Islands,11,10,0,1
839,2020-04-14,Arunachal Pradesh,1,0,0,1
840,2020-04-14,Assam,31,0,1,30
841,2020-04-14,Bihar,66,26,1,39
842,2020-04-14,Chandigarh,21,7,0,14
843,2020-04-14,Chhattisgarh,31,10,0,21
844,2020-04-14,Delhi,1510,30,28,1452
845,2020-04-14,Goa,7,5,0,2
846,2020-04-14,Gujarat,617,55,26,536
847,2020-04-14,Haryana,199,34,3,162
848,2020-04-14,Himachal Pradesh,32,13,1,18
849,2020-04-14,Jammu and Kashmir,270,16,4,250
850,2020-04-14,Jharkhand,24,0,2,22
851,2020-04-14,Karnataka,258,65,9,184
852,2020-04-14,Kerala,379,198,3,178
853,2020-04-14,Ladakh,15,10,0,5
854,2020-04-14,Madhya Pradesh,730,51,50,629
855,2020-04-14,Maharashtra,2337,229,160,1948
856,2020-04-14,Manipur,2,1,0,1
857,2020-04-14,Meghalaya,1,0,0,1
858,2020-04-14,Mizoram,1,0,0,1
859,2020-04-14,Nagaland,1,0,0,1
860,2020-04-14,Odisha,55,18,1,36
861,2020-04-14,Puducherry,7,1,0,6
862,2020-04-14,Punjab,176,14,12,150
863,2020-04-14,Rajasthan,879,133,3,743
864,2020-04-14,Tamil Nadu,1173,58,11,1104
865,2020-04-14,Telangana,624,100,17,507
866,2020-04-14,Tripura,2,0,0,2
867,2020-04-14,Uttarakhand,35,7,0,28
868,2020-04-14,Uttar Pradesh,657,49,5,603
869,2020-04-14,West Bengal,190,36,7,147
870,2020-04-15,Andaman and Nicobar Islands,11,10,0,1
871,2020-04-15,Andhra Pradesh,503,16,9,478
872,2020-04-15,Arunachal Pradesh,1,0,0,1
873,2020-04-15,Assam,33,0,1,32
874,2020-04-15,Bihar,70,29,1,40
875,2020-04-15,Chandigarh,21,7,0,14
876,2020-04-15,Chhattisgarh,33,13,0,20
877,2020-04-15,Delhi,1561,30,30,1501
878,2020-04-15,Goa,7,5,0,2
879,2020-04-15,Gujarat,695,59,30,606
880,2020-04-15,Haryana,199,34,3,162
881,2020-04-15,Himachal Pradesh,33,13,1,19
882,2020-04-15,Jammu and Kashmir,278,30,4,244
883,2020-04-15,Jharkhand,27,0,2,25
884,2020-04-15,Karnataka,277,75,11,191
885,2020-04-15,Kerala,387,211,3,173
886,2020-04-15,Ladakh,17,10,0,7
887,2020-04-15,Madhya Pradesh,987,64,53,870
888,2020-04-15,Maharashtra,2687,259,178,2250
889,2020-04-15,Manipur,2,1,0,1
890,2020-04-15,Meghalaya,7,0,1,6
891,2020-04-15,Mizoram,1,0,0,1
892,2020-04-15,Nagaland,0,0,0,0
893,2020-04-15,Odisha,60,18,1,41
894,2020-04-15,Puducherry,7,1,0,6
895,2020-04-15,Punjab,186,14,13,159
896,2020-04-15,Rajasthan,1005,147,3,855
897,2020-04-15,Tamil Nadu,1204,81,12,1111
898,2020-04-15,Telangana,647,120,18,509
899,2020-04-15,Tripura,2,0,0,2
900,2020-04-15,Uttarakhand,37,9,0,28
901,2020-04-15,Uttar Pradesh,735,51,11,673
902,2020-04-15,West Bengal,213,37,7,169
903,2020-04-16,Andaman and Nicobar Islands,11,10,0,1
904,2020-04-16,Andhra Pradesh,534,20,14,500
905,2020-04-16,Arunachal Pradesh,1,0,0,1
906,2020-04-16,Assam,33,5,1,27
907,2020-04-16,Bihar,74,29,1,44
908,2020-04-16,Chandigarh,21,7,0,14
909,2020-04-16,Chhattisgarh,33,17,0,16
910,2020-04-16,Delhi,1578,42,32,1504
911,2020-04-16,Goa,7,5,0,2
912,2020-04-16,Gujarat,871,64,36,771
913,2020-04-16,Haryana,205,43,3,159
914,2020-04-16,Himachal Pradesh,35,16,1,18
915,2020-04-16,Jammu and Kashmir,300,36,4,260
916,2020-04-16,Jharkhand,28,0,2,26
917,2020-04-16,Karnataka,315,82,13,220
918,2020-04-16,Kerala,388,218,3,167
919,2020-04-16,Ladakh,17,10,0,7
920,2020-04-16,Madhya Pradesh,1120,64,53,1003
921,2020-04-16,Maharashtra,2919,295,187,2437
922,2020-04-16,Manipur,2,1,0,1
923,2020-04-16,Meghalaya,7,0,1,6
924,2020-04-16,Mizoram,1,0,0,1
925,2020-04-16,Nagaland,0,0,0,0
926,2020-04-16,Odisha,60,18,1,41
927,2020-04-16,Puducherry,7,1,0,6
928,2020-04-16,Punjab,186,27,13,146
929,2020-04-16,Rajasthan,1023,147,3,873
930,2020-04-16,Tamil Nadu,1242,118,14,1110
931,2020-04-16,Telangana,698,120,18,560
932,2020-04-16,Tripura,2,1,0,1
933,2020-04-16,Uttarakhand,37,9,0,28
934,2020-04-16,Uttar Pradesh,773,68,13,692
935,2020-04-16,West Bengal,231,42,7,182
936,2020-04-17,Andaman and Nicobar Islands,11,10,0,1
937,2020-04-17,Andhra Pradesh,572,36,14,522
938,2020-04-17,Arunachal Pradesh,1,0,0,1
939,2020-04-17,Assam,35,5,1,29
940,2020-04-17,Bihar,83,37,1,45
941,2020-04-17,Chandigarh,21,9,0,12
942,2020-04-17,Chhattisgarh,36,23,0,13
943,2020-04-17,Delhi,1640,51,38,1551
944,2020-04-17,Goa,7,6,0,1
945,2020-04-17,Gujarat,1021,74,38,909
946,2020-04-17,Haryana,205,43,3,159
947,2020-04-17,Himachal Pradesh,35,16,1,18
948,2020-04-17,Jammu and Kashmir,314,38,4,272
949,2020-04-17,Jharkhand,29,0,2,27
950,2020-04-17,Karnataka,353,82,13,258
951,2020-04-17,Kerala,395,245,3,147
952,2020-04-17,Ladakh,18,14,0,4
953,2020-04-17,Madhya Pradesh,1308,65,57,1186
954,2020-04-17,Maharashtra,3205,300,194,2711
955,2020-04-17,Manipur,2,1,0,1
956,2020-04-17,Meghalaya,9,0,1,8
957,2020-04-17,Mizoram,1,0,0,1
958,2020-04-17,Nagaland,0,0,0,0
959,2020-04-17,Odisha,60,19,1,40
960,2020-04-17,Puducherry,7,1,0,6
961,2020-04-17,Punjab,186,27,13,146
962,2020-04-17,Rajasthan,1131,164,11,956
963,2020-04-17,Tamil Nadu,1267,180,15,1072
964,2020-04-17,Telangana,743,186,18,539
965,2020-04-17,Tripura,2,1,0,1
966,2020-04-17,Uttarakhand,37,9,0,28
967,2020-04-17,Uttar Pradesh,846,74,14,758
968,2020-04-17,West Bengal,255,51,10,194
